Incident Angle (deg),Reflectance (%) p-pol
 45.9794283759726 , 2.48540006711556E-05 
 46.0290711109555 , 2.71087069022029E-05 
 46.1097405553027 , 3.09960538622843E-05 
 46.2408284023669 , 3.79113869448509E-05 
 46.371916249431 , 4.55813107501058E-05 
 46.4538461538462 , 5.07652894935109E-05 
 46.5849340009103 , 5.96956020638726E-05 
 46.6668639053254 , 6.56807585024223E-05 
 46.8 , 7.60811593276896E-05 
 47.0097405553027 , 9.41981294339057E-05 
 47.1408284023669 , 1.06624416907091E-04 
 47.3538461538462 , 1.28679788656403E-04 
 47.5668639053254 , 1.53108569710272E-04 
 47.7 , 1.69616826296752E-04 
 47.9097405553027 , 1.97614714875847E-04 
 48.0408284023669 , 2.1638045923356E-04 
 48.2538461538462 , 2.49012516394405E-04 
 48.4668639053254 , 2.84366452071651E-04 
 48.6 , 3.078840079916E-04 
 48.8097405553027 , 3.47213357065097E-04 
 48.9408284023669 , 3.7324443178691E-04 
 49.1538461538462 , 4.17990115390219E-04 
 49.5 , 4.97381720751072E-04 
 49.8408284023669 , 5.83995669746567E-04 
 50.0538461538462 , 6.42573531609511E-04 
 50.4 , 7.45377064151035E-04 
 50.7408284023669 , 8.56216731219185E-04 
 50.9538461538462 , 9.3054990056099E-04 
 51.3 , 1.06000239653902E-03 
 51.6408284023669 , 1.19839614702986E-03 
 51.8538461538462 , 1.29063897841365E-03 
 52.2 , 1.45036809488893E-03 
 52.7538461538462 , 1.7326169995559E-03 
 53.1 , 1.92669401649784E-03 
 53.6538461538462 , 2.26746150095814E-03 
 54 , 2.50046349894923E-03 
 54.5538461538462 , 2.90752148171882E-03 
 54.9 , 3.18460464015293E-03 
 55.4538461538462 , 3.66671831239391E-03 
 55.8 , 3.99370474663599E-03 
 56.3538461538462 , 4.56078413792124E-03 
 56.7 , 4.94426529792246E-03 
 57.2538461538462 , 5.60754621662371E-03 
 57.6 , 6.05500664457316E-03 
 58.1538461538462 , 6.82726782197112E-03 
 58.5 , 7.3472340675146E-03 
 59.0538461538462 , 8.24305916062314E-03 
 59.4 , 8.84527995358669E-03 
 59.9538461538462 , 9.88137544403485E-03 
 60.3 , 1.05770409286745E-02 
 60.8538461538462 , 1.17726240862748E-02 
 61.2 , 1.25746341693115E-02 
 61.7538461538462 , 1.39519093965124E-02 
 62.1 , 1.48752042510758E-02 
 62.6538461538462 , 1.64599516634593E-02 
 63 , 1.75219214407857E-02 
 63.5538461538462 , 1.93442290003504E-02 
 63.9 , 2.05652252269252E-02 
 64.4538461538462 , 2.26604058896333E-02 
 64.8 , 2.40643844396258E-02 
 65.3538461538461 , 2.64741337073757E-02 
 65.7 , 2.80894694688178E-02 
 66.2538461538462 , 3.08633380610142E-02 
 66.6 , 3.27238656826188E-02 
 67.1538461538462 , 3.59211491556561E-02 
 67.5 , 3.80675043960746E-02 
 68.0538461538462 , 4.17596900364358E-02 
 68.4 , 4.42410550048235E-02 
 68.9538461538462 , 4.85150216891372E-02 
 69.3 , 5.13914189159587E-02 
 69.8538461538461 , 5.63536663693051E-02 
 70.2 , 5.96990078190921E-02 
 70.7538461538462 , 6.54813112040603E-02 
 71.1 , 6.93874995906636E-02 
 71.6538461538462 , 0.076154565112461 
 72 , 8.07370832944326E-02 
 72.5538461538462 , 8.86970556724422E-02 
 72.9 , 9.41026937472814E-02 
 73.4538461538462 , 0.10352179575615 
 73.8 , 0.109939502499277 
 74.3538461538461 , 0.121162770893436 
 74.7 , 0.128839159130435 
 75.2538461538462 , 0.142320356683185 
 75.6 , 0.151582288232496 
 76.1538461538462 , 0.167927937135754 
 76.5 , 0.17921613186179 
 77.0538461538462 , 0.19925182325502 
 77.4 , 0.21317208941107 
 77.9538461538462 , 0.238044922985725 
 78.3 , 0.255448396186784 
 78.8538461538461 , 0.286789890572878 
 79.2 , 0.308902651914844 
 79.7538461538462 , 0.349096557880423 
 80.1 , 0.377736589080657 
 80.6538461538462 , 0.430376351365381 
 81 , 0.46833196464193 
 81.5538461538462 , 0.539037912486372 
 81.9 , 0.590760629703712 
 82.4538461538462 , 0.688719278900024 
 82.8 , 0.761667974783314 
 83.3538461538461 , 0.902722642182755 
 83.7 , 1.010160701276 
 84.0408284023669 , 1.13450205251887 
 84.2538461538462 , 1.22352242075113 
 84.6 , 1.3908677766594 
 84.9408284023669 , 1.58961949095613 
 85.1538461538462 , 1.73519456430389 
 85.5 , 2.01612317542009 
 85.8408284023669 , 2.36186517311678 
 86.0538461538462 , 2.62328121433886 
 86.4 , 3.14696249483964 
 86.6097405553027 , 3.54145099175054 
 86.7408284023669 , 3.82560371553088 
 86.9538461538462 , 4.36335609519251 
 87.1668639053254 , 5.01869580620734 
 87.3 , 5.50349978520247 
 87.5097405553027 , 6.41714807363403 
 87.6408284023669 , 7.10414322071738 
 87.771916249431 , 7.90304503817381 
 87.8538461538461 , 8.46992279847628 
 87.9345155981933 , 9.08723470438708 
 87.9849340009103 , 9.50646250345341 
 88.0668639053254 , 10.249338967572 
 88.1487938097406 , 11.0783633860749 
 88.2 , 11.6459894861925 
 88.2794283759726 , 12.6118229439662 
 88.3290711109555 , 13.2742110195751 
 88.3787138459384 , 13.9869767999304 
 88.4097405553027 , 14.4601858196891 
 88.4593832902856 , 15.2654740545873 
 88.4904099996499 , 15.8010870368987 
 88.5408284023669 , 16.7291126686376 
 88.5904711373498 , 17.7188064974993 
 88.6214978467141 , 18.3790433555911 
 88.6525245560784 , 19.073778820959 
 88.6719162494311 , 19.5264753567366 
 88.7029429587953 , 20.282012649753 
 88.722334652148 , 20.7746661348003 
 88.7538461538462 , 21.6106509497517 
 88.7843955292202 , 22.4653248329075 
 88.803488888829 , 23.0228287930278 
 88.8345155981933 , 23.9691699826496 
 88.8655423075576 , 24.9683075886245 
 88.8849340009103 , 25.6210638704845 
 88.9040273605191 , 26.2860393997138 
 88.9159607102746 , 26.7132429874605 
 88.9353524036273 , 27.4271060524176 
 88.95474409698 , 28.1661206377081 
 88.9668639053255 , 28.6412016736893 
 88.9859572649343 , 29.4109055452064 
 88.9978906146898 , 29.9055488652705 
 89.0172823080424 , 30.7323343117575 
 89.0366740013951 , 31.5884885338861 
 89.0487938097406 , 32.138966898803 
 89.0681855030932 , 33.0451030820182 
 89.0803053114387 , 33.6277059640852 
 89.1 , 34.601921867531 
 89.1185103907592 , 35.5494653060338 
 89.1300793849837 , 36.1578135900521 
 89.1416483792082 , 36.7788490178991 
 89.1488790005985 , 37.1735406011245 
 89.160447994823 , 37.8156796427834 
